State	State's Utility	Best Action
LLLL	705.6764158654472	2
MLML	586.874668557872	0
MLLL	658.6833663013969	0
HLLM	523.0911050311369	3
HLLL	579.9944425082448	0
HMLH	321.5471671089426	1
LMLH	525.6761544414867	1
MMLM	475.06348248130416	3
HLLH	395.5417392695205	0
HLMH	307.7911530881627	2
HLHH	72.40172803880722	2
HMHH	-64.58228093458034	2
HMHM	104.47132421129686	2
HMMH	189.7979008388652	2
HHHH	-267.3691701018454	0
HHHM	182.74681966709636	3
HHMH	10.488993428919414	2
HHMM	216.6117715441244	3
HLHM	316.0401305371894	3
HLMM	450.4145192350861	3
HMLM	427.0125284786872	3
HMMM	355.37306731157753	1
HMLL	519.8230239549193	1
HHLL	404.60203445974463	1
HHLH	101.57821230797308	1
HHHL	280.83067945522896	0
HMHL	353.3741613655733	0
HHLM	334.1418310137702	3
LHHH	129.81235640767264	1
MHHH	34.58788313489933	0
MHMH	56.83112076690537	0
LHHM	336.34159070974584	2
LHHL	384.7304505481284	2
MHHL	347.374914607936	1
MHHM	242.70743163877125	0
LHML	513.7774754419793	2
LHLL	584.0507689948714	1
LMLL	674.904969738838	1
LLLM	682.026039227777	3
MMLL	602.1167682237186	0
LLML	671.043197448797	2
LMML	590.6225777365391	1
MLHL	543.1097503307328	0
MMHH	329.6353033851599	1
LHLH	416.326460858052	1
HHML	307.3470278047202	2
LHLM	522.2467503635489	3
MHLL	505.44770728762074	0
LHMM	442.39972789778136	3
MHLM	435.6496112833559	0
MHLH	344.6938147722468	0
LLLH	589.3956803795128	3
LLMH	512.4533556025908	2
MLLH	529.8025596801415	0
MLMH	425.1789654165916	2
LLMM	570.8323957556323	2
LLHM	561.8019031742327	3
MLLM	588.598831714397	0
LLHL	613.1139995176361	2
LMMM	521.5603199628853	3
MMML	479.6720800574189	1
LHMH	344.6938147722468	2
LMHH	368.8633680298127	1
LLHH	455.5687229650807	3
MLHH	432.92883649143795	3
MMLH	453.10853899733803	0
LMMH	453.10853899733803	2
MMMH	357.79768509760424	0
MLHM	485.6217128568095	0
MLMM	518.1872017020848	3
HLML	522.6835430338937	2
HMML	447.84072155942744	2
HLHL	384.48979255572755	0
LMHL	539.8116969970641	1
LMLM	590.5375564012794	3
MMHL	419.306153362677	0
LMHM	465.8305272973577	3
MMHM	339.63595284229416	1
MMMM	429.40428796659677	0
MHML	402.4766538330288	0
MHMM	342.0846501550203	2
