State	State's Utility	Best Action
LLLLLLLL	1420.552840438361	2
LLMLLLLL	1381.8625517617354	2
LLHLLLLL	1333.6765607340512	2
LLMLLLML	1294.0384921389477	2
LLHLLLML	1290.3084120429364	1
LLHLMLLL	1333.6762965855619	2
MLHLMLLL	1260.3086669270058	0
LLHLMMLL	1189.3431953887307	0
LLHLLMLL	1254.8260500246884	1
LLMLMLLL	1306.6594995029536	0
LMMLLLLL	1343.6762965855619	1
LLLLLMLL	1252.6192389123403	3
LLLLMLLL	1262.2600910251276	1
LLLLMMLL	1212.3598664906417	0
LLLLMMML	1242.8877598535455	0
LMLLLLML	1303.20894225147	1
LHMLLLLL	1186.4348617227504	2
LHHLLLLL	1147.7913755504753	2
LHLLLLLL	1234.1745071271082	1
LHMLLMLL	1033.2360878598456	2
MHLLLMLL	1053.0937425638595	3
MHLLLLLL	1103.437778432099	1
HMLLLMLL	773.966287955437	1
HMMLLMLL	793.2961810790562	3
HMMLLLLL	848.107166419815	2
HMLLLMML	875.6749210519271	1
HMMLMMML	758.1074289467343	2
HLLLLMML	1062.386997331198	3
HLLLLLML	1113.763616521808	3
HLLLLLHL	1082.3872548696272	0
HMLLLLML	1072.489940308733	0
HMLLLLHL	1024.1485293826645	1
HMLLLMHL	941.733676444398	2
MMLLLLML	1124.9891271970669	1
MMLLLLHL	1086.7778566998622	1
MLLLLLHL	1194.9512982809708	2
MMLLMLHL	943.7271117211577	2
MHLLLLHL	1177.598983868191	0
LHLLLLHL	1252.888048026323	1
MMLLLLLL	1331.8417066220559	0
MHLLLLML	1140.6810829947926	0
LHLLLLML	1200.7570564143973	2
LHLLLMML	991.3296835418284	3
LHLLLMHL	1115.9990947127112	3
LHMLLMHL	914.7951808219956	2
LHMLLMML	853.315662739796	3
MHLLLMML	997.1043379247432	0
LHLLLMLL	1157.7913755504753	1
HHLLLLML	995.3950310510869	3
HHLLLLLL	1050.4391844481813	0
MHLLLLLM	1063.342804120171	0
LHLLLLLM	1114.8256612636058	0
LHLLLMLM	859.0992052154102	1
LMLLLMLH	887.888362218666	0
LMLMLMLH	951.8642502964224	2
LHLMLMLH	1024.2939436794604	1
LMLHLMLH	1115.8824842513998	3
LMLMLMLM	1217.6475218751896	0
LHLMLMLM	1308.497556394525	0
LLLLLLML	1336.8991375611154	0
MLLLLLLL	1371.6631534934406	0
MLLLLLML	1244.1102662570518	0
MLLLLMML	1059.8004830746872	0
MLLMLLLL	1268.0610914394474	3
MLLLMLLL	1175.071272824423	3
MLLLMMLL	1161.1238798415775	0
LMLLLMLL	1233.9299726153818	1
LLLLLMML	1106.9301403080958	1
MLLLLMLL	1195.5328665025115	0
LLLLLHLL	1239.4639743714122	1
LLMMLMLL	1065.306113782918	1
LLMMLHLL	1032.5170819979912	2
LMMLLHLL	1031.3151765914622	1
LLMLLMLL	1197.0155184553128	2
LMMLLMLL	1180.5369753538437	2
LMLLLHLL	1018.183658932316	3
LHLLLHLL	996.3652930390845	1
MLMLLHLL	1088.4670278614187	0
MLLLLHLL	1131.0684101121765	0
LLLMLMML	1087.9487901948407	3
LMMLLHML	910.5885575551154	1
LMLMLHML	897.0931754498665	1
LMLMLMML	1019.1539111753567	1
LMLLLMML	1136.8515706887895	2
LMLLLMHL	977.9406432106821	0
LMLMLMLL	1165.8827696876706	2
LMMMLMLL	1102.4832778184593	3
LLMLLHML	978.4319861744705	2
LLLLLHML	1062.5284824774312	3
LMLLMHML	870.217089300235	0
LMLLLHHL	933.5747853037869	1
LLLLLHHL	981.7499975352623	3
LLLMMHHM	767.9449867627305	0
LLLMLHMM	864.3836055787607	0
LLLMLHLM	927.0931754498665	1
LLLMLHML	963.4371355335542	3
LLLLMHML	940.5887875570235	0
LLMLLHHL	1104.0535793934664	0
LLMLLMHL	1171.1709283734415	1
LMLLMHHL	794.1953803702115	3
MMLLLHHL	860.2173067734083	0
MLLLLHHL	928.5799430952515	1
MLMLLHHL	906.8945770624956	1
MLMLLMHL	985.4386976059044	0
MLMLMMHL	952.0264716525897	2
MLLLMLML	1057.8074782017375	1
MLLLMLMM	1097.5641455419807	3
MLLLLLLM	1305.7346771689224	0
HLLLLMLM	1135.9795798522605	0
MMLLLMML	1063.1664136199106	0
MLMLLMML	1024.420291945291	0
MLMLLLML	1016.4299744742486	1
MLLLLMHL	976.200188931235	3
LLMLLMML	1043.3471615145777	2
MLLMLMML	978.9409926214437	3
LLLLLMHL	1069.3062667553868	3
MMLLLHLL	1091.3813934510647	3
MMLLLMLL	1145.9795798522605	1
MMMLLMML	878.0707033249466	0
LMMLLMML	964.5232437227827	2
MHLLLHLL	1032.2432541059584	1
HMLLLHLL	838.1074289467343	3
HLMLLMLL	947.5332306045269	1
HLMLLMML	986.1482975980782	0
HLMLLLML	1062.3872548696272	2
HLLLMLHL	1088.9217116612506	0
MLMLMLHL	1065.0088008380724	0
LLMLLLHL	1150.010054773586	2
LLLLLLHL	1205.568384170287	1
LMLLLLLM	1271.6572527458545	2
LMLLLLMM	1301.8417066220559	0
LMLLLLLL	1368.7133148118971	1
LMLMLLLL	1285.3150717998192	1
LLLMLLLL	1332.8680486478472	3
LLMMLLLL	1285.315350728654	2
LMMMLLMM	1121.1709283734415	1
LLMMLLML	1234.634642925053	3
MHMLLMLL	994.6181646157448	1
MMMLLMLL	1071.7982410732816	2
MMMLLLLL	1146.4427640300792	2
HHMLLLLL	995.3952660033632	2
MHMLLLLL	1053.0940005888892	2
MHHLLLLL	997.7846005300004	2
LMMLLMLM	843.3312290650357	1
LHMLLMLM	585.6253040483758	1
LMMLMMMM	617.3616944097346	0
LMMLMMLM	708.1799002841334	2
LLMLLMLH	637.424528598613	1
LLMLMMLH	641.5830561145485	1
LLMMLMLH	607.4247505030937	3
LLHLMMLM	751.6491893236202	0
LLHLLMLM	801.8326865021787	3
LLHLLMMM	824.25878864594	2
LLHLLHMM	736.3953351598892	2
LLMLLMMM	882.5100075516666	0
MLMLLHML	861.123331543381	2
MLHLLHLL	825.0109983890429	2
MLLLLHML	1048.1652003726938	3
LLMLMHML	910.5887875570235	3
LLMLMHHL	893.551634931903	1
LLMLLHHM	970.6131862773051	2
LLLLLMHM	1056.2371262772863	2
LLLLLMMM	1032.9426303917503	0
LLLMLMHL	1022.2894835320672	3
LLLMLHHL	925.3342098809674	3
HLLLLHLL	1097.961569100959	0
HLLLLHML	993.3486803354244	0
LMLLLHML	1016.2756342296881	1
LLMLLHLL	1060.9059680271805	1
LLHLLHML	559.9812883839465	0
LLHMLHHL	403.56152750748237	0
LLHMLHML	799.4223341900426	0
LLHMLHLL	866.0250678889373	2
LLMHLHLL	829.4225611000436	3
LLMHLMML	874.5740719284566	2
LLMHLMLL	1105.895964392027	2
MLMHLMLM	540.7123208773771	1
MLMHLMMM	600.7917950254516	3
HLMHLMMM	700.880092114593	3
HLMMLMLM	823.200414866528	3
HLMMLMLL	914.6674329680972	0
