State	State's Utility	Best Action
LLLLL	919.0903672503831	1
MLLLL	886.107882683173	0
MLLML	824.9206326461014	3
MLMLL	816.2396071333956	0
LLMML	826.9210054115138	2
LLMLL	890.897706498591	2
MLHML	49.35324769134446	1
MLHMM	60.32200612336776	1
MLHHM	140.39489461473408	2
LLHHM	89.88229518127879	1
MMMHM	260.4839431482916	1
MMHMM	201.16008591365147	0
LMHMM	290.1786960226723	3
LHHHH	-265.77195204757925	1
LMHHH	-87.62953294689169	1
LHMHH	62.678989798353854	2
MHHHH	-372.8571428571372	1
HHHHH	-536.367125273815	1
HMHHM	-258.69869076647296	0
HMHHH	-405.51657558498187	1
HHHHM	-403.21378433603587	1
HHHHL	-60.0	3
HLHHH	-280.2996300648697	3
HLHHM	-122.9644310322781	3
HLHMH	2.716857565216536	3
HMHMH	-77.55482819130512	1
HLHLH	163.9128446727746	2
HMHLH	69.06781039835684	1
HLHMM	127.19137836535143	2
HLMLH	239.74334682378537	2
HMMLH	235.4754234886977	2
HLHLM	292.7923899946838	2
HLLLH	373.81870104417305	1
HLMLM	336.43683093975574	2
HMLLH	306.0846514269908	1
HMLLM	509.9257743659719	1
HLLLM	566.5850732769118	3
HLLLL	785.3572874743189	0
HMLLL	636.0148993764495	1
HMLML	479.678641413727	0
HHLML	586.275556754933	3
HHLLL	662.5292039048982	0
HHLLM	517.6047402218916	1
HHLLH	125.33805368527365	1
HHMLH	101.75197714002428	1
HHMMH	-51.81634486597072	1
HHLMH	126.81470512065135	1
HLLMH	305.7675446932427	2
HMMMH	114.44826462924325	1
HMLMH	156.8025018634795	3
HLMMH	204.94328169236002	2
HLMHH	255.57992185797224	2
HLLHH	339.53401004551955	0
HLLHM	459.43196234992627	0
HLLMM	463.56894840405107	3
MLLLH	738.7655087532108	2
LLLLH	709.7039592264739	1
MLLLM	787.5181911060934	0
LMLLH	670.3800695115566	1
MMLLH	664.8889578778898	1
MMLLM	725.9745801812688	0
LMLLM	756.2956012454317	1
LLLLM	808.4480633253771	0
LLLML	886.2167885025217	3
LMLLL	873.993559578983	1
LHLLL	817.0167375327843	1
LHLLM	683.2888811610183	1
LHLLH	572.9260176736923	1
LLLMM	778.2970784290803	3
MMLLL	824.8212769263739	1
MHLLL	765.3150637795059	0
LLMLM	771.7824878367359	2
LLLHL	706.2334520656527	3
LMMLL	812.8328522752864	2
LMMLM	690.6660411208886	2
LLHLL	853.3622658077404	2
LHLMM	671.6133500306678	1
LMLMM	746.2378892826571	1
LMLML	789.6132743838891	1
LLLMH	668.7335633038265	3
LLMLH	614.5197457590758	3
LMMLH	598.4000620901008	2
HLLML	736.821558726887	3
LMHLL	384.5980413548538	2
LMHML	346.1382372193684	3
LHHLL	340.1786960226723	3
LHHLM	355.7549179221912	2
LHHMM	111.16311981530379	1
LHHMH	45.73971306498605	3
MHHMH	-143.0	1
MMHHH	-80.0	2
MLHHH	-49.51886832663178	0
MHHHM	-80.0	2
MMHHM	-70.0	3
LMHHM	61.86547803776409	3
LHHHM	-189.48621853701445	1
LMHHL	34.256005611711004	1
LMMHH	134.90128194259273	2
LMLHH	341.54022507328443	1
LMLHM	468.6199345975684	3
LLLHH	395.46517926418784	0
LLLHM	557.6590802544106	3
LHLHM	360.63507870364833	1
MMLMM	668.7835574015553	3
MHLLM	614.9599930449165	0
MHLLH	505.6334159063231	0
LLMHM	501.89317222896955	2
MLLHL	665.6101068590875	0
HLLHL	471.703235051699	0
MLLHM	501.89317222896955	0
LLMHL	632.372198878904	2
MLMHM	356.0938990771821	2
MLMHH	194.43554883346243	3
LLMHH	301.57345104344984	2
LLHHH	13.461187332268501	2
MLLHH	418.90591678336926	0
LHLML	769.63300118109	1
LHMLH	495.79924709323103	1
MHMLH	415.07007431569076	2
MHMMH	144.93712012031327	2
MHLMH	430.4212385043221	3
MHLHH	234.98330743670562	3
MMLHH	337.01532510503233	1
MMLMH	357.3791146538899	3
MMMMH	187.73825155979006	1
MMMHH	7.194299246027953	2
LHLHH	218.98036448136978	1
MHMHL	-40.0	3
MHMHM	-13.588909181481533	0
HHMHH	-147.64275719553495	1
HHLHH	167.98191748681273	1
HMLHH	253.3137925945291	0
MMMMM	416.7034120257311	0
LMMMM	518.5600558810908	3
MHHLH	284.3455316748827	2
LHHLH	314.2915276441206	1
LHLMH	435.2152000877324	0
LHMMH	406.2193223839079	3
LHMLM	621.5994370087998	1
LMHLH	428.5803083769213	1
LMHLM	403.3994191611016	1
LLHLH	537.868535419654	1
LLHLM	688.0357047311421	2
LMHMH	-144.4246316631381	0
MMHMH	-70.0	3
LLHHL	123.76353291727573	1
LMMHM	91.41115374833346	3
MHLHM	316.64873819333934	0
LHLHL	396.2769858991171	1
LMLHL	451.75794113781154	1
MHLHL	346.6492873092054	0
LHMHL	-10.0	3
LHMHM	-40.0	1
LHHHL	-20.0	3
MHMHH	-80.0	2
HMHHL	-50.0	3
HLHHL	-20.0	3
LHHML	72.76941043243436	1
MLMLM	629.2321342580279	0
MLLMM	807.5951096522696	0
LMLMH	483.32114457495766	2
MLHLL	764.615646420056	2
LHMMM	529.4394933079199	3
LLMMH	553.0677711831682	3
LMMMH	399.984297045386	1
MLMMM	477.76099406485145	0
HLMLL	736.821558726887	2
HMMHH	-8.316134718574787	1
HLMMM	185.76901214140685	3
MLHLH	-10.0	1
MMHLH	-40.0	3
MLHMH	-40.0	2
