State	State's Utility	Best Action
LLLL	717.939043907369	2
LLML	681.4876520385421	2
LLHL	617.2691233478984	2
LLHM	481.57780863076977	2
LMHL	479.6334292095468	2
LHHL	347.85320138371196	2
LHHM	170.21461934624514	3
MHHL	176.4912432275177	2
MMHM	103.19315741162063	0
HMHM	-54.87728674617078	1
HHHL	-47.76314790518245	1
LLLM	676.8445801299779	3
MLML	633.338886834688	0
LMLL	664.4563575991147	1
LMLM	584.4558222706135	3
LMML	595.9604342678434	1
MMLL	589.0424295965936	0
LHML	487.4955602282325	1
LHLL	585.3414169276392	1
LMMM	526.364390841059	3
MLLL	682.199780345741	0
MLLM	633.979802311167	3
MMLM	529.1252200254215	1
LHLM	520.087190287798	3
MHLL	493.3825683300949	0
LLMM	606.3846524716464	3
HHLL	289.81306787230494	1
HMLL	372.04157184992033	0
HHML	133.17332766502497	0
MHML	229.4353344639412	2
HMLM	278.99793121630506	1
HHLM	182.5737623763249	3
LHMM	448.07847125901816	2
MMMM	433.72725128687784	3
MMML	526.364390841059	0
MHMM	353.27062413311637	0
MHHM	-37.08320864235259	0
MHHH	-96.05514194039682	2
MHMH	105.26227594211156	1
LHMH	256.3741182645756	1
MHLH	247.49627844872907	0
LHLH	308.3301085275722	1
LMHM	357.65393810191273	1
MHLM	327.2838209519344	3
HMHL	116.68480059292258	1
HLHL	232.4326448501472	2
HLML	402.1170027677175	2
HHHM	-186.36435014971408	3
HMML	304.0975004201525	1
HMHH	-281.07997076038964	1
HLHH	-160.83186191698957	2
HHHH	-447.3007323447578	1
HLHM	122.8133744770497	3
HLMH	205.3939223564147	2
HLLH	401.93903951803384	0
HMMH	105.26227594211156	0
HMLH	274.3131422892803	1
HHMH	-123.50679561967715	1
HHLH	-111.94700176784073	0
MLHH	324.6151211634053	0
LMLH	462.48125984625955	1
LMMH	364.55939183215474	1
LHHH	193.04641909115688	1
LLLH	603.0535490152719	3
MLLH	580.5818220800503	3
MMLH	396.2331338616336	0
MMMH	261.98876385159883	2
LLMH	552.7481941137447	2
HLLL	489.76466385681704	0
HLLM	385.4433656362615	3
LLHH	394.01757446554905	3
HMMM	161.11900025860658	1
HHMM	34.73604834790041	1
MLMH	477.4733747023703	0
LMHH	291.8885442917215	3
MMHH	-60.0	3
MLHM	271.8598786323049	0
HLMM	308.0358138920483	3
