State	State's Utility	Best Action
LLLL	697.6070957548677	3
LLML	628.3373405841783	2
MLML	508.6815541003839	0
LLMM	516.8636746399327	2
LLLM	586.4653153701823	3
LLLH	493.8192839382859	3
MLLM	519.1964386916873	3
LMLM	491.0419281010883	1
MLLH	441.0532075245734	0
HLLH	331.35353234117105	0
LMLH	410.4459391680167	1
MMLM	379.00045501583526	3
LMMM	388.6493229308607	3
LLMH	420.1684337618913	2
MLMH	306.5435349858497	2
MLMM	347.32060298502296	0
MMMM	309.78439063777466	0
MMHM	229.98949491833952	0
MMHL	186.99054542650558	1
MLHM	324.68750295156235	3
MLHL	441.2852765719162	0
LLHL	498.1665545222688	2
LMML	588.2299266484871	2
LLHM	434.0548441574138	3
LMHM	311.0996803568645	3
LLHH	321.44387526879996	2
LMMH	321.7643536930604	1
MMLL	561.7401708136633	1
HMLL	319.7376132455185	1
LMLL	631.3668893562312	1
LHLL	399.99043789640046	3
LHLM	281.8375796309069	3
LHLH	143.11929717507704	3
MHLH	2.3887625127036642	0
HHMH	-246.61090750520557	2
HHLH	-101.84238945711547	3
HHLM	62.83368728781801	3
MHMH	-145.3601067843456	0
MHMM	48.0255854849936	0
LHMH	7.763650084005498	2
LHHH	-111.95621875349566	2
MMLH	252.50768213426943	1
MLLL	601.9338108328964	0
HMMM	198.18611577512118	1
HMML	351.9997144675927	0
MMML	413.3332816232744	2
HMLM	267.76385192096666	3
MHLM	169.19201656820283	3
LHMM	188.18854658657708	3
MHML	150.09923947693676	2
LHHM	57.23795542749946	3
MMMH	73.84005975879265	0
HMMH	-174.18665187444697	3
HMHM	-139.83699869842874	0
HLHM	-64.61821574951989	3
HLMM	275.76259271215497	2
HLHH	-88.98490496270983	2
HLMH	258.9030953555325	2
HLLL	490.2320493115121	0
HLML	334.7180377610502	2
HLLM	412.95813844342905	3
HMLH	105.86953619030655	1
MLHH	232.66609007385546	0
LMHH	193.49932549034253	1
HHLL	143.4638805300072	1
HMHH	-300.95627376449215	1
HHHM	-354.0844379739102	3
MHHM	-46.119829386570224	3
MHHH	-212.69337771916761	3
LMHL	424.67786172026916	1
MMHH	24.41481528955319	2
HHHH	-491.35444039220346	3
HHHL	-46.60135390239665	2
HLHL	54.391962435901554	2
HHMM	-8.25103347328097	3
MHHL	200.13413318803913	0
LHML	539.4069339836384	1
HMHL	-10.043100906273516	1
MHLL	495.4662405852746	0
LHHL	255.70484455268777	2
HHML	188.9994073249023	1
