State	State's Utility	Best Action
OOOO	149.43152879910534	2
OOLO	139.23406163917724	2
OOMO	104.14930242252406	2
OOHO	99.88630575982107	2
MOHO	45.59663824203312	0
LOHO	77.98371224172729	2
LOMO	89.91897937222936	0
LLHO	66.99031434956756	2
MLLO	84.95921291705092	0
HLOO	72.84671602705865	3
ILOO	64.24475945741719	1
HLLO	61.46228316362234	2
HMOO	41.51153650156708	0
IMOO	31.430117532915197	1
ILOL	50.1463161355623	1
IOOL	63.948156874593984	3
IOOM	30.894243558324767	3
HLOM	34.62250194065294	3
HLOL	73.1133223186103	0
ILLM	6.020131549147135	3
ILLL	42.12952730964189	0
ILOM	18.990686927422917	3
IMOH	-30.424698434610438	1
IMOM	-16.201862614515417	1
IMLM	-30.0	2
IMLL	1.3886603281939394	3
IHLM	-40.0	1
IHLL	-9.629340147529883	3
IHML	-40.0	1
IHHL	-50.0	1
IIHO	-61.537975308641975	2
IIIO	-74.9952	3
IIMO	-40.0	0
IIHL	-60.0	1
IIML	-50.0	2
IILO	-10.136928299287439	2
IIOO	-0.6844042213092733	0
IIOL	-10.392799509129798	1
IILL	-20.0	1
IHOL	2.2518236769540767	1
IHOM	-29.549635264609186	3
IMOL	15.763792013662684	3
IMML	-26.847241597267463	2
IMMO	-16.033268600695603	1
ILLO	51.85142846500475	1
IOLO	63.42868608079202	2
ILMO	19.83508703035581	2
IOOO	74.81717871569029	0
IOLL	51.40669275411865	3
IOOH	14.802855861505156	3
IOLH	1.5637331566992527	2
IOLM	15.74603083005547	2
IOMM	-19.197905702553047	3
ILML	6.047070503296429	2
IMLO	12.49977840329697	0
IHLO	1.8537246444646387	2
IHOO	16.28602350658304	1
IOML	14.574122355851088	3
IOMO	30.687263267008046	2
IMLH	-47.021971367394	1
IMLI	-59.4043942734788	3
ILLH	-8.795973690170573	3
MOLM	40.28133855082373	3
IOHO	16.209104331600425	2
ILHO	2.0200918085953994	2
IOOI	0.8345359592220016	3
IOMH	-33.240575155005686	2
IOHL	1.1007965858772317	3
ILHL	-10.88664831706624	3
IMHL	-40.0	3
ILMM	-28.790585899340712	3
ILOH	1.8528756634063557	3
IOLI	-10.789338484857318	2
HOLI	1.345609329769383	2
IOHM	-30.0	1
IOIO	1.1948680718527946	2
ILIO	-9.76102638562944	1
IOIL	-9.76102638562944	3
IOIM	-41.95220527712589	3
ILOI	-10.075539188844147	1
MOLI	22.07631325939353	0
HOMI	-25.92819699799198	0
LOMI	20.361593126743543	2
LOLI	51.809625625279665	0
MOOI	31.78211726920941	0
MLOI	13.48395020111023	1
LOOI	64.7909830543789	0
OOOI	75.94996592449081	3
OOOH	91.02068970400148	3
MOMI	-20.0	3
HLOI	3.6010596822042857	1
HOOI	18.00686674310036	0
MLLI	3.063270910486384	0
OLLI	52.095333149415616	1
LLLH	52.15513046181138	0
OLLH	69.42063274820214	3
LLLI	40.59137287066427	2
LLMH	12.9984	1
LOHH	14.9984	0
OOHH	24.9984	2
OOIH	14.41829721178032	3
OOII	0.8361977699695757	3
OLHI	4.0837305593619595	2
OLMI	20.419066629883126	2
OLMH	34.99897901075988	2
LMMM	-9.092224673241732	2
LMLM	29.080758888554488	2
LMOM	45.4056663954854	1
LLOM	77.02945926652701	0
LLOH	64.18289283904419	1
MOOH	36.84960240164629	0
MOLH	34.24856978978433	0
HLLH	4.184860034137647	3
HLLM	20.92450038813059	3
HLLL	54.62266446372206	2
LLOL	115.56727641916842	3
OLLL	112.35080609486901	2
OLLO	124.80113547059437	2
OMOO	106.54740665065948	1
OLOO	138.8613439278316	1
OMOL	95.32325141481338	1
OMLL	80.14491432894702	1
OLOL	126.61961106054088	1
OOOL	138.62392451850258	3
LOLO	127.84681232783545	0
