State	State's Utility	Best Action
OOOO	1170.6071123821935	0
OOLO	1158.0939450045018	2
LOOO	1157.4602643821765	0
MOLO	1084.288082929052	0
MLOO	1083.0029547525116	0
OMOO	1113.5992569574069	1
OMOL	1055.2117113146119	3
OMLL	925.4488106596066	2
LNMO	728.2564905155416	0
ONMO	764.7296124655417	2
OHLL	794.1441877102021	2
OHON	826.8270445170758	3
ONOH	817.1036819861246	1
OLLH	873.2517042269808	3
OMLN	861.9891794960217	2
OLLN	967.8875623402207	1
OOLN	1033.519560300223	3
LOLM	990.1676042702007	0
NMML	528.525490933415	3
NMMO	587.2507128487633	2
NMLO	641.3898439050622	0
MMNM	668.2110963450318	2
MMLN	775.7902615464196	0
MNON	547.1284156632464	3
MHOH	277.5822629065503	2
MIOI	330.6471477009959	0
LIOI	376.53159020999277	0
OIOI	429.47972697867914	1
OHOI	663.3697513901008	1
ONOI	726.8852911438713	1
OHLI	597.0327762510907	2
ONMI	600.060622877907	1
ONNH	303.80629269468875	3
OHNI	192.78286999607468	3
OHNH	236.42554558253963	3
LHHN	273.80629269468875	0
LNHH	121.50286174113873	3
MNIN	157.2255601362285	3
MHIM	219.13966530014977	1
MNIM	321.2664447612593	0
LNIM	412.51841799262456	1
LLIN	480.5761621837334	1
LLIH	415.5761621837334	1
MOIH	472.862540875727	0
MOII	314.16015593497127	3
OOII	448.84404317299567	2
MLII	175.57267765280397	0
OLII	363.5654389740923	3
OMII	399.3144120929051	2
ONII	242.91706935459143	1
LHII	39.68633754441257	0
LMII	40.0062834311008	1
LLII	303.65311599087903	3
LNII	-30.145869650193546	2
MNII	10.949122610213053	0
MIIH	-167.175	3
MIII	-266.3893647024229	3
NIII	-357.1415329395506	0
NHII	57.05927298268003	1
HIII	-411.0081417922418	0
IIIH	-491.29734410788103	3
IIIN	-412.3914442700144	3
IIII	-593.5076721381865	3
IIHH	-239.09090909090912	1
OIII	-97.65759032005957	2
LIII	-207.1745121551084	0
LIIM	-25.898454896456375	3
HINL	225.06003621421794	2
HILL	283.40021666078087	0
MIMM	277.2634684129391	2
MIML	287.27759558040236	0
MILN	374.7373566138915	3
NILM	376.83639189997484	2
NIOM	440.9294896532918	3
HIOM	219.097275417568	3
HILM	157.1875478758112	2
HIOL	276.77487992846795	2
IION	307.52777042188904	3
IIOH	226.77499337970016	3
NIOH	266.0904364147021	0
MIOH	317.8784311889935	0
MILI	165.87431786408393	3
NILH	209.48139277323187	2
HIOH	97.21337085210573	2
HIOI	133.3898268099691	0
IIOI	143.27256623409406	3
NIOI	308.8784311889935	0
NILI	176.28313343982285	2
HILI	98.65482009584056	0
HIMI	-83.25727709631121	3
HIMH	7.492033766895162	2
OIOH	396.53175428081124	0
LION	315.1988995173009	1
LIOH	356.87857885273013	0
OILH	425.89095369731996	1
OILI	349.3917289281296	2
OION	388.1783043888541	1
OILN	369.3604739499687	2
LILN	331.19072096745714	2
MION	276.09058807009416	2
MIOM	263.6790095655708	0
MILH	270.23962626668435	3
MILM	552.1187512071535	3
MILL	646.7987843118808	2
NIOL	718.665483238139	3
LIOM	313.53712157164523	1
LILM	337.2636209525024	1
MIMH	104.61927030080784	0
OIMH	229.26437633677625	3
LINN	288.07164887071144	2
LILH	241.90040708011847	2
MIMI	14.157343270727054	3
LINH	158.77872694554483	0
OINH	188.1882072609607	0
OINI	231.32038164813866	2
OIHI	153.30070645280554	2
OIHH	97.97063580752499	0
OIMI	298.47895545048146	2
LIMI	218.63105990543335	0
MINI	-57.25839105634565	2
NILN	314.68419214542183	2
NION	360.7603664166922	3
NIMO	386.8365406879626	2
NIOO	776.29514430738	0
MIOO	718.665629876642	1
NILO	258.55403259279615	0
NILL	265.0601949947028	2
HILO	255.06019499470278	1
NIMH	-29.022035377923988	0
NIMI	34.420091107614354	2
LILI	273.6345901753539	1
IILN	-8.5325515281532	3
IILM	56.71218973520479	2
IIOL	375.03097876335636	3
HHOH	139.67479449902623	1
INLH	188.52771056116504	2
INOH	242.80872416727442	0
IHOI	292.0098462671912	1
IMOI	380.01108902446305	0
NNOI	466.67913261794894	0
MNLI	518.5325105769292	3
NNMI	380.0112193561541	2
NHOI	581.1831536907843	1
NMOI	667.9814553022251	1
NMOH	437.6434413503197	2
HNOI	48.79194849682776	3
HNOH	76.43565613779933	1
HHOI	96.03977158528349	0
MHLI	151.155451371551	0
LHMI	378.88703629094147	3
MHMI	-6.045268042618339	1
MHNI	225.2736315574307	0
LHNI	316.97090301242616	2
LHLI	385.5234215534556	3
LHLH	439.47065921841	1
LNMI	488.30091826794154	1
MLMI	564.7789789880912	1
MOMI	660.865708359869	2
OOMI	785.3490573818677	2
LOMI	714.6072345906113	2
OOLI	849.3141599871035	2
OOOI	902.2522262383735	3
OOLH	961.786542834614	3
LOOI	845.2836349169881	0
OLOI	847.1099069453049	3
OMOI	775.8989303912433	1
LLLI	751.0171787967774	1
LOLI	801.1304026790554	3
OOOH	987.002164847536	3
OLLI	787.9345747470469	1
OLMI	677.8453098059332	2
LOMH	772.2412608942029	2
LONN	796.538518407424	0
OLNH	752.6348537305788	3
OLNI	652.155671270599	3
OLHI	363.4325353962636	1
OMHI	320.6306617560026	3
OMNI	576.9401041435391	1
ONHI	307.08928185663723	1
LLHI	527.2459767653094	2
LLNI	596.9401041435391	0
LONI	715.0604119846165	2
LLOI	789.5809404710434	0
MOOI	804.55628714934	0
LOOH	942.857178081521	3
LLLN	931.0988061061987	0
NOOH	779.9418046078079	3
NOON	897.4259483701392	0
NOLN	857.6833535331252	2
HOOI	631.4886779071294	0
IOOI	417.73217765578937	3
IOLI	430.79643008552415	3
IOLH	509.1156203545853	3
IOLN	590.298856300702	0
NOLH	720.3990204388975	3
NOOI	753.3128969725527	0
MLOI	702.5731467916102	3
NLOI	697.9816072752975	1
MOLH	832.4749713045786	3
MOLN	937.8877464106766	0
OLMH	827.7440217879935	3
OONH	823.7832558055302	3
OONI	735.1570161455979	2
LLOH	899.9704869155152	3
MONI	463.6708264411474	3
NONI	526.3010810892821	2
HONH	422.3299545656958	1
HOHH	480.36679148189637	0
HOMI	564.7791375238821	0
