AJWT	ATWT
51.939297	498.25607
51.744793	476.5697
49.402134	446.2983
52.89616	513.7827
56.980362	467.96692
52.00542	514.5234
50.951275	525.6536
48.145725	449.63458
53.99424	473.35825
55.775196	475.21066
50.182816	483.6158
54.40885	477.26804
52.544567	548.512
54.009502	502.3333
54.501072	469.93484
53.929962	511.12152
54.44484	491.95105
55.400356	520.1526
52.725033	505.85486
52.77411	497.65683
53.718975	430.83063
53.459015	491.33334
50.465057	509.9023
51.064945	512.09393
56.011177	492.72025
51.06611	506.60822
53.30862	488.6875
54.817307	497.43076
52.908195	495.78867
52.29354	476.5572
