AJWT	ATWT
110.87436	775.8259
112.96198	722.0893
110.90406	674.42914
120.54126	815.84344
108.934586	729.1943
104.15709	766.6478
102.597435	703.9239
102.67565	723.9963
103.19164	728.25507
107.70495	724.63214
113.49627	784.32196
105.40185	737.4127
111.2373	749.90845
106.44653	695.0271
102.84134	656.7738
95.60274	590.71094
105.16283	713.2445
105.72218	689.069
105.98233	701.496
109.61485	772.89514
107.16894	721.79974
111.2332	815.59973
103.916176	770.2458
102.76751	701.981
109.782135	903.2849
97.51714	611.7756
107.96416	705.7851
99.193794	666.1947
97.24004	680.32874
103.00445	697.81915
